NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,FRENCH_LNG,FRENCH_CREOLE_LNG,ITALIAN_LNG,PORTUGESE_LNG,GERMAN_LNG,YIDDISH_LNG,OTHER_W_GERMAN_LNG,SCANDINAVIAN_LNG,GREEK_LNG,RUSSIAN_LNG,POLISH_LNG,SERBO_CROATIAN_LNG,OTHER_SLAVIC_LNG,ARMENIAN_LNG,PERSIAN_LNG,GUJARATI_LNG,HINDI_LNG,URDU_LNG,OTHER_INDIC_LNG,OTHER_INDO_EUR_LNG,CHINESE_LNG,JAPANESE_LNG,KOREAN_LNG,MON_KHMR_CMBDN_LNG,HMONG_LNG,THAI_LNG,LAOTIAN_LNG,VIETNAMESE_LNG,OTHER_ASIAN_LNG,TAGALOG_LNG,OTHER_PACIS_LNG,NAVAJO_LNG,OTHER_NATAM_LNG,HUNGARIAN_LNG,ARABIC_LNG,HEBREW_LNG,AFRICAN_ALL_LNG,ALL_OTHER_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INC,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2010_OR_LATER,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE_BORN,FOREIGN_BORN_FB,EUROPE_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,NORTHERN_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
DIA,1231,255,398,446,0,15,9,0,108,20.71,32.33,36.23,0,1.22,0.73,0,8.77,547,684,183,74,76,31,257,131,207,394,146,69,60,20,0,364,55,364,4.47,30.5,28.4,31.8,1128,380,36,16,59,51,133,38,748,625,72,195,209,128,21,758,50,179,336,193,1048,853,119,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,29,29,529,529,99,320,209,529,290,175,115,17,98,239,206,33,34,65,12,43,31,28,15,36,26,32,96,33,50,2,0,26,45125,60385,0,55502.65,64785.86,32159,35125,31029,0,0,0,0,0,2005,28,528,15,8,9,0,40,0,0,1043,0,124200,1124,107,2,0,2,0,0,21,0,6,15,0,27,20,0,0,0,7,0,57,57,0,50,7,0,18.7,17.9
University Hills,5918,616,4586,389,24,153,0,32,118,9.45,74.95,8.45,0.27,4.29,0,0.35,2.24,2810,3108,537,230,175,159,767,435,711,1511,751,746,727,301,459,1101,963,1101,22.14,44,40.85,49.4,5454,916,98,85,131,210,174,110,4538,2681,555,1119,724,186,97,4441,188,698,1321,2234,5381,5024,164,11,0,0,0,62,4,5,0,0,0,0,0,0,0,0,0,4,0,0,7,58,0,26,0,1,0,0,9,0,0,6,0,0,0,0,0,0,0,2635,2635,139,1763,872,2635,1461,1090,371,127,244,1174,901,273,91,86,133,147,134,128,126,147,94,183,238,358,272,154,163,183,54194.5,73445.5,31094.99,79730.59,101727.48,38180.5,40380.5,36158,0,0,0,0,0,1959,90,106,25,77,113,352,1881,91,39,1046,1175,259750,5673,245,37,7,13,5,12,116,42,4,51,19,8,0,0,0,0,8,0,84,67,7,52,8,17,9.55,5.9
Harvey Park,12706,7547,3881,213,116,697,0,33,219,59.31,30.69,1.77,0.87,5.36,0,0.25,1.74,6179,6527,1227,1354,820,448,2581,1597,1947,2644,1555,1356,818,449,420,3849,1143,3849,8.95,31.55,30.75,31.15,12001,3680,275,321,851,467,713,62,8321,5620,872,2152,1920,326,350,7792,2081,2161,2197,1353,11479,6403,4458,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,48,1,0,0,547,0,0,0,0,0,0,0,0,0,0,4173,4173,114,2321,1852,4173,2915,1820,1095,184,911,1258,897,361,257,229,179,256,198,348,210,378,167,426,545,649,148,104,67,15,46472,48050,18610.53,53152.9,54596.15,28499,30829,23112,24667,27288,35000,39375,32898,1957.5,4,47,80,195,482,632,2626,203,18,816,905,193400,9943,2746,43,15,17,1,10,376,0,0,376,0,0,0,0,0,0,0,0,2344,2308,7,2297,4,36,21.55,20.95
Mar Lee,13667,9502,2976,139,431,484,0,36,99,68.91,22.96,0.93,2.77,3.53,0,0.23,0.66,6864,6803,1277,1053,982,648,2330,2122,2202,1837,1615,1461,1154,313,436,3960,1354,3960,10.09,30.8,28.85,33.45,12938,3184,275,176,696,800,362,23,9754,6001,1264,1778,2031,437,491,8421,2701,3095,1478,1147,12390,5577,6331,0,28,0,0,9,4,0,0,0,0,29,0,0,0,0,0,0,0,0,0,55,6,0,0,0,17,89,173,0,0,0,0,0,0,25,0,47,72,4108,4108,189,2222,1886,4108,3028,1934,1094,299,795,1080,883,197,262,270,216,265,299,167,242,258,311,406,490,487,204,141,80,9,46018,48812.5,14828.3,53109.75,56783.18,28662,30213,24703,23619,32319,33130,36166.5,56450,1956.5,0,17,234,254,235,451,2752,313,41,864.5,981,147900,9717,3924,36,0,7,0,29,390,32,32,319,7,65,47,0,18,0,0,0,3459,3459,0,3457,2,0,16.9,13.25
Westwood,16569,13247,1896,478,75,687,0,0,186,79.51,11.25,3.26,0.51,4.33,0,0,1.14,8179,8390,1848,1706,1886,643,3554,2936,3112,2198,1762,1299,829,437,228,6083,1068,6083,6.5,26.53,26.75,25.9,15514,4851,369,384,1217,1070,360,51,10663,6280,1093,1810,2018,738,621,8726,3694,2696,1726,610,14721,4800,9153,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,53,0,98,0,0,21,0,5,0,475,0,4,0,0,0,0,50,0,48,98,4577,4577,279,1795,2782,4577,3347,2095,1252,308,944,1230,920,310,521,420,523,380,252,302,389,270,247,343,305,324,177,47,36,39,31664.75,34026,0,42878.97,45929.92,21134,23401.5,19436.5,21065,19904,31338,27727,0,1954.75,30,241,210,168,305,447,2016,1094,345,732.5,840,129925,11137,5432,21,0,0,0,21,569,61,45,444,19,101,48,0,39,14,0,0,4741,4734,0,4729,5,7,32.68,31.15
East Colfax,11256,2777,4199,2816,66,1084,21,31,262,26.19,38.48,23.95,0.57,7.87,0.25,0.37,2.32,5574,5682,1091,558,832,554,1649,1563,2171,341,1307,1311,623,268,177,3035,785,3035,7.51,31.45,30.4,32.85,10592,2818,87,103,586,655,519,358,7774,5233,867,1965,1547,507,347,6962,1088,1839,2065,1970,10165,6762,1624,96,0,0,0,39,0,0,0,0,5,0,13,0,0,0,0,0,0,346,0,22,0,27,5,0,0,0,0,354,18,13,0,20,0,79,15,727,841,4196,4196,357,1488,2708,4196,2054,1184,870,262,608,2142,1429,713,522,249,289,332,183,201,273,213,245,372,342,487,233,128,76,52,41812.5,41579.5,15882.34,53004.94,52821.57,27581,29464.5,24011,13730,14090,33073,46301,42596,1958.5,0,191,485,354,458,559,946,1082,478,850,957.5,169500,8670,2489,52,0,34,0,18,916,104,347,384,81,799,623,23,56,0,63,0,819,819,0,788,31,0,34.65,31.1
Auraria,825,146,459,24,7,134,7,12,36,17.7,55.64,2.91,0.85,16.24,0.85,1.45,4.36,361,464,0,0,0,0,0,547,184,1288,18,33,4,0,0,0,4,0,0.48,19.6,19.6,19.6,825,756,0,0,0,0,752,4,69,363,158,97,72,24,12,104,0,20,26,58,825,656,36,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,97,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,8,16,43,59,17,17,0,0,0,42,21,21,4,0,0,0,0,0,0,4,7,0,3,23,10,0,0,8,82788,0,0,95430.51,0,4878,6104,3854,0,0,0,0,0,1964,0,4,0,0,20,16,11,0,16,1188,1188,450000,716,109,0,0,0,0,0,97,85,12,0,0,0,0,0,0,0,0,0,12,12,0,12,0,0,8.4,0
University Park,7560,442,6345,119,31,518,3,0,102,5.95,83.06,1.57,0.46,7.37,0.03,0,1.55,3774,3786,311,321,277,105,632,650,2056,1021,910,850,608,252,348,1014,784,1014,10.66,33.15,32.6,32.85,7392,2684,136,72,260,149,1186,643,4708,3623,1021,1723,557,148,174,5159,126,360,1093,3580,7249,6262,270,27,0,0,0,6,0,23,20,0,7,0,19,11,0,36,0,0,0,8,0,372,15,15,0,35,22,0,0,0,11,11,0,0,0,69,7,3,79,3599,3599,408,1398,2201,3599,1304,1081,223,107,116,2295,1714,581,415,214,147,214,162,170,194,117,171,233,296,274,177,96,193,532,51768,123307.5,43877.8,98985.37,170507.18,32255.5,42362,24410,0,0,0,0,0,1968,186,759,166,353,354,929,664,374,222,885.5,973,579700,6638,887,100,40,38,3,19,553,395,42,73,43,126,0,0,96,12,15,0,143,82,0,44,38,61,21.2,6.2
Platt Park,5745,303,5131,83,6,107,0,0,115,5.27,89.31,1.44,0.1,1.86,0,0,2,2782,2963,315,154,198,160,469,367,974,791,735,952,609,44,145,827,495,827,8.62,36.7,36.4,37.2,5513,775,48,35,108,181,135,99,4738,3407,970,1730,556,107,44,4837,89,361,790,3597,5430,5135,114,11,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,18,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2777,2777,113,1906,871,2777,1394,1039,355,130,225,1383,971,412,106,72,128,48,123,39,55,83,39,154,216,355,368,209,414,367,98561,127768,44409.96,112455.78,137496.77,55393,66049,43299,0,0,0,0,0,0,88,389,28,56,55,153,178,143,1800,876,953,423500,5535,210,79,14,49,0,16,61,20,0,41,0,15,0,0,0,15,0,0,55,16,0,0,16,39,7.5,3.7
College View - South Platte,7124,5245,1287,110,0,472,0,3,7,73.62,18.07,1.54,0,6.63,0,0.04,0.1,3953,3171,567,878,465,289,1445,910,1129,964,1028,673,446,214,62,2199,486,2199,6.82,30.6,30.6,30.4,6755,1796,135,229,393,209,214,18,4959,2315,340,548,864,243,320,4263,1807,1214,949,293,6557,2413,3703,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,2,0,0,0,0,0,0,0,0,0,2219,2219,55,770,1449,2219,1384,786,598,176,422,835,641,194,475,206,153,231,238,64,69,147,34,223,158,95,42,17,38,29,26173,27525,0,39714.47,42860.04,22725,26690,14833,0,0,0,0,0,1972,0,171,211,204,698,347,371,199,73,627,944,166800,4509,2602,2,2,0,0,0,422,0,3,419,0,0,0,0,0,0,0,0,2191,2191,0,2190,1,0,44.8,38.1
Overland,3241,880,1826,349,63,58,0,0,65,27.15,56.34,10.77,1.94,1.79,0,0,2.01,1741,1500,197,93,168,30,290,259,881,1480,334,306,280,83,17,488,181,488,5.58,32.8,35.2,32.1,3070,455,20,38,122,63,161,42,2615,1902,394,878,406,105,119,2314,323,472,666,853,3044,2520,466,0,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1613,1613,96,441,1172,1613,569,352,217,63,154,1044,700,344,148,65,61,24,102,157,80,47,75,224,119,286,102,28,60,37,51054,58858,12162.73,61298.33,79386.82,36021,36896,34569,0,0,0,0,0,1967,225,460,52,4,79,104,162,117,506,1085,1166,180400,2950,291,33,0,9,0,24,50,43,0,7,0,9,9,0,0,0,0,0,199,199,0,184,15,0,20.5,16.5
Ruby Hill,10811,7144,2278,480,0,750,3,0,156,65.5,21.04,5.13,0,6.6,0.03,0,1.69,5645,5166,931,930,915,512,1861,1775,1280,628,1404,1067,854,584,269,3288,1179,3288,10.52,32.95,31.35,34.9,10319,2892,306,163,715,710,269,31,7427,4480,675,1798,1302,320,385,6406,2701,1845,1076,784,9880,3604,5088,0,0,24,0,0,0,0,0,0,15,0,0,20,0,0,0,0,0,0,0,13,9,0,43,0,15,0,685,0,0,7,0,0,0,8,0,349,357,3387,3387,211,1744,1643,3387,2171,1385,786,253,533,1216,1067,149,497,160,278,322,94,276,165,171,96,381,343,275,146,111,47,26,37421,42285,13304.19,45863.85,49742.1,22336.5,27604,18491.5,0,0,0,0,0,1957,0,84,60,99,298,697,2009,296,55,664,752.5,165550,7014,3750,36,0,0,0,36,547,19,0,518,10,321,0,313,8,0,0,0,2893,2893,0,2805,88,0,25.2,20.7
Kennedy,4610,1345,1541,682,0,849,0,0,193,29.18,33.43,14.79,0,18.42,0,0,4.19,2485,2125,399,349,130,52,748,227,1549,845,601,304,142,14,14,930,74,930,1.61,28.4,30.5,27,4346,1421,77,124,66,64,549,264,2925,2566,490,1056,602,182,236,2866,481,219,935,1231,4211,2441,640,65,0,0,0,15,0,0,0,0,141,0,41,0,0,29,0,73,0,101,0,17,0,81,0,0,0,0,140,179,0,0,0,0,0,134,0,114,248,2416,2416,227,0,2416,2416,906,485,421,184,237,1510,1193,317,184,186,218,233,281,254,106,171,181,150,153,138,125,22,14,0,31386,31766,13175.4,39705.55,42378.48,25058,25755,23039,0,0,0,0,0,1982,130,506,208,578,1136,70,0,15,0,822,1213,0,3031,1563,106,0,0,0,106,813,134,486,59,134,193,70,0,0,0,123,0,467,467,0,467,0,0,20,10.4
Hampden,18866,2500,11736,2845,35,1056,110,0,584,12.83,63.47,14.75,0.16,5.09,0.61,0,3.09,9419,9447,975,1182,791,434,2157,1349,3132,1696,2327,2736,1953,1312,988,3382,3239,3382,17.71,39.48,38.13,40.78,18233,3859,401,179,486,616,946,315,14374,9966,1915,4399,2478,724,450,13993,684,2686,3981,6642,17891,14678,849,143,0,0,0,86,0,0,13,27,183,18,37,0,0,281,27,70,0,67,0,138,84,162,0,0,0,0,72,354,17,0,0,0,0,192,16,377,585,9325,9325,711,4354,4971,9325,4293,2921,1372,437,935,5032,4189,843,514,484,548,520,489,664,567,552,428,723,1015,1043,599,410,398,372,50910,62491,30857.94,66954.74,83671.57,34098.75,34669,33100.25,0,0,0,0,0,1974,82,47,319,1759,4992,2246,286,234,71,876.25,913,234550,16003,2850,512,74,152,0,286,1208,414,549,87,158,604,334,0,37,20,213,0,539,479,45,415,19,60,11.1,9.6
Baker,5799,1971,3240,183,59,134,0,0,212,33.99,55.87,3.16,1.02,2.31,0,0,3.66,2961,2838,419,365,151,12,784,262,865,39,679,655,549,133,123,947,533,947,9.19,34,34.9,33.3,5626,1315,219,119,109,111,315,154,4311,3040,675,1188,942,105,130,4327,819,696,628,2184,5380,4140,1119,29,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,2624,2624,131,964,1660,2624,957,706,251,19,232,1667,1211,456,260,370,79,141,70,72,87,143,108,122,221,252,380,131,71,115,49318,81127,23431.54,72912.73,102883.07,35316,36558,31743,0,0,0,0,0,0,79,240,15,24,21,330,228,172,1646,808,848,312100,5017,782,20,20,0,0,0,113,113,0,0,0,45,0,0,0,0,45,15,589,589,0,589,0,0,26,17.7
Fort Logan,8777,2612,5124,269,40,515,8,0,209,29.48,58,3.33,0.47,6.3,0.06,0,2.36,4255,4522,448,488,553,394,936,1046,1023,3298,933,1387,1046,694,501,1883,1658,1883,19.45,42.4,41.53,44.13,8451,2008,130,59,386,475,365,126,6443,3771,764,1322,1021,351,313,6341,624,1646,2067,2004,8329,6858,887,12,0,4,0,16,0,0,0,15,9,0,10,9,0,15,0,11,0,0,0,75,4,0,0,0,0,0,313,0,57,34,0,0,0,0,0,0,0,3214,3214,160,2517,697,3214,2309,1673,636,168,468,905,721,184,250,86,81,124,127,161,162,104,131,222,371,411,381,193,217,192,68999.67,85510,32397.67,89722.92,103607.33,34473,43025.33,31316,0,0,0,0,0,1975.33,95,102,435,199,1387,794,315,24,23,847.5,1174.67,290100,8059,718,54,8,21,0,25,348,26,25,292,5,2,0,0,0,0,0,0,314,275,0,249,26,39,11.7,7.27
Bear Valley,9246,3940,4303,410,348,218,0,0,27,37.86,53.04,2.99,3,2.78,0,0,0.33,4747,4499,696,718,313,310,1414,852,1587,833,1413,1318,778,552,378,2037,1261,2037,16.08,39.15,38.75,40.2,8851,2104,147,127,241,475,505,73,6747,4617,609,1729,1627,261,391,6247,765,1858,1924,1700,8550,6669,1635,0,0,12,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,148,0,7,0,49,0,0,0,0,0,49,3681,3681,157,2089,1592,3681,2426,1778,648,311,337,1255,1042,213,117,123,110,80,288,221,195,240,165,318,535,398,452,230,149,62,59026.5,68861.5,24281.25,68673.79,78260.91,36596,41480,33842.5,0,0,0,0,0,1973.5,5,271,287,615,1271,1276,78,12,23,869,901,242000,8335,911,18,9,5,0,4,115,14,0,101,0,0,0,0,0,0,0,0,778,773,21,752,0,5,9.7,7.65
Harvey Park South,8846,4292,3564,149,13,713,29,0,86,47.4,42.2,1.32,0.17,7.84,0.26,0,0.81,4344,4502,501,549,736,324,1050,1360,1213,1983,1118,1005,1028,457,412,2110,1249,2110,14.99,37.45,37.95,37.6,8531,2294,141,124,555,501,548,80,6237,3824,756,1360,1107,482,119,5923,1162,1708,1871,1182,8345,5498,1927,67,42,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,58,44,1,0,4,25,0,0,0,578,31,0,0,0,0,0,54,0,0,54,3095,3095,191,1998,1097,3095,2032,1437,595,215,380,1063,827,236,360,139,148,162,227,81,159,175,120,154,372,255,356,239,76,72,54262.5,65970.5,28257.47,66680.39,79416.82,28761.5,38129,26796.5,0,0,0,0,0,1963,0,114,132,367,590,279,1698,45,61,1071,1401.5,227800,7635,1201,68,0,43,0,25,480,3,58,405,14,27,0,0,0,0,0,0,636,625,42,432,151,11,13.75,11.2
Southmoor Park,4844,178,4221,171,4,168,0,0,102,3.48,87.89,3.4,0.1,3.29,0,0,1.83,2423,2421,253,135,117,111,388,268,1393,1445,674,658,332,173,268,616,660,616,15.05,37.15,36.9,39,4703,1006,112,26,98,125,371,160,3697,2999,872,1401,544,95,87,3628,35,295,874,2424,4591,3980,165,8,0,0,0,21,0,7,7,13,36,34,9,0,0,13,0,0,0,0,39,70,9,0,0,0,1,0,0,67,0,0,0,0,0,112,0,0,112,2727,2727,247,987,1740,2727,958,696,262,87,175,1769,1366,403,107,52,90,48,117,121,127,133,149,281,334,459,308,89,143,171,68917,101826,30120.76,91656.69,116405.16,48264.5,54389,42846,0,41250,40930,50217,72393,1983,239,1198,558,49,121,527,270,9,3,1159,1383,343700,4324,520,195,25,29,13,128,276,68,96,0,112,11,0,0,9,2,0,9,29,25,16,9,0,4,6.45,2.6
Hampden South,14838,1773,10618,1326,0,804,7,0,310,10.58,74.71,7.64,0,5.24,0.03,0,1.8,7337,7501,693,842,439,195,1535,851,2247,2912,2208,1881,1886,902,684,2169,2570,2169,18.61,42.37,39.93,45.1,14364,3000,161,148,367,268,1051,313,11364,8328,1917,4159,1809,305,138,11929,451,1647,3461,6370,14145,12262,570,24,0,0,0,42,0,0,70,28,252,14,8,14,0,50,0,65,0,45,27,94,121,136,0,0,0,0,0,43,0,0,0,0,0,265,10,5,280,7381,7381,474,4229,3152,7381,3564,2755,809,202,607,3817,3064,753,303,163,222,274,322,484,331,539,341,600,527,1069,713,260,672,558,67354.67,97014,35714.35,88744.64,113629.86,42761.67,49762,36209.67,0,0,0,0,0,1977.67,40,558,753,1079,3278,1878,192,0,77,1047.67,986,304433.33,13225,1613,429,60,52,9,308,675,402,182,0,91,114,5,0,59,9,0,7,388,293,60,160,73,95,5.1,1.7
Goldsmith,5262,1363,2872,521,68,135,65,110,128,25.9,54.58,9.9,1.29,2.57,1.24,2.09,2.43,2780,2482,431,330,116,31,761,276,1206,763,612,392,512,296,446,908,857,908,16.29,33.9,32.9,34.3,4928,923,130,22,95,47,204,143,4005,2541,587,1308,401,111,134,3724,219,1223,1111,1171,4831,4006,600,3,0,29,0,13,3,0,13,0,6,0,12,13,0,0,0,0,0,0,0,14,0,26,0,0,0,0,6,0,0,11,0,14,0,55,0,7,76,2662,2662,183,626,2036,2662,1049,538,511,240,271,1613,1267,346,234,213,152,212,412,344,112,123,61,215,149,178,53,81,109,13,31449,34248,21592.7,45350.15,58204.86,26377,27456,24121,0,0,0,0,0,1971,0,11,51,217,1331,1065,129,0,41,721,913,275400,4661,601,59,21,13,0,25,109,40,0,17,52,44,7,0,37,0,0,0,389,386,0,348,38,3,18.4,12.6
Cory - Merrill,4718,364,4076,52,19,68,0,33,106,7.72,86.39,1.1,0.4,1.44,0,0.7,2.25,2464,2254,447,380,149,95,827,300,677,2724,740,433,399,212,173,1071,552,1071,11.7,36.2,32.8,39,4464,1090,150,76,89,115,193,163,3374,2360,630,1013,492,119,106,3336,82,245,499,2510,4271,4046,133,12,7,0,0,43,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1855,1855,48,1348,507,1855,1232,806,426,199,227,623,367,256,41,19,44,29,19,19,85,93,59,34,141,441,226,110,134,362,94583,99621,42801.19,146382.21,165712.01,49583,57143,43661,0,0,0,0,0,1952,9,315,43,164,27,56,407,592,290,1603,1713,424000,4559,159,28,10,0,7,11,50,30,8,12,0,8,0,0,0,8,0,0,73,42,7,24,11,31,7.4,5.3
Windsor,13676,3054,7052,2556,99,532,0,0,383,23.35,49.92,19.27,0.73,3.87,0,0,2.87,6110,7566,696,511,457,279,1207,893,2119,1988,1300,1619,1966,1181,1403,1943,3534,1943,24.14,43.9,43.03,44.1,13213,2191,88,108,353,363,560,244,11022,6417,1125,2819,1619,326,528,10619,1113,2516,3048,3942,12980,8856,2004,132,0,32,69,15,26,27,9,0,256,15,0,40,0,74,0,54,0,120,124,91,0,15,0,0,13,0,28,54,0,0,16,21,0,121,10,758,926,7611,7611,863,3280,4331,7611,2709,1550,1159,354,805,4902,4318,584,559,566,845,558,643,653,431,331,399,518,696,733,326,63,123,167,39805,47166.33,27920.97,51253.28,59895.8,26869.33,28677.33,24587.33,25451,26708,36250,48947,62031,1978.67,0,469,1468,1276,2568,2199,391,57,46,833.67,1134,179533.33,10080,3569,437,0,87,8,342,574,90,337,50,97,1007,544,78,29,14,342,12,1566,1530,81,1269,180,36,19.73,19.27
Belcaro,4728,218,4420,45,0,45,0,0,0,4.61,93.49,0.95,0,0.95,0,0,0,2344,2384,209,341,191,40,550,231,281,954,896,695,829,447,208,781,1022,781,21.62,45.3,46,45.1,4567,708,109,47,151,40,66,65,3859,2321,718,1088,466,17,32,3867,107,217,599,2944,4519,4080,83,0,0,0,0,82,0,0,0,143,100,0,0,0,0,17,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264,2264,195,1824,440,2264,1335,1267,68,0,68,929,779,150,54,18,66,40,0,0,34,48,15,25,211,281,289,180,249,754,131333,166458,71800.32,185198.85,216054.01,72554,98073,54976,0,0,0,0,0,1963,29,538,234,74,73,431,475,213,392,1720,1720,742600,4322,406,243,70,46,0,127,31,0,31,0,0,14,14,0,0,0,0,15,103,23,0,23,0,80,3.1,0
Washington Park,7310,362,6550,35,0,240,0,41,82,4.13,90.87,0.72,0,2.9,0,0.42,0.95,3299,4011,507,361,287,86,868,459,1061,2391,1069,915,1135,386,209,1241,1136,1241,17.47,41.45,41.4,41.35,6977,1401,249,48,236,155,174,283,5576,3647,1271,1674,511,104,87,5808,107,270,767,4664,6803,6314,73,56,0,30,11,41,0,60,82,29,9,0,0,12,0,0,25,0,0,0,7,20,15,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3274,3274,305,2483,791,3274,1886,1601,285,133,152,1388,1030,358,127,61,59,77,69,83,27,91,97,205,233,373,319,237,410,806,103408.5,143807.5,73861.55,148760.94,198090.13,58204,83462.5,46373,0,30972,35536,49148,81848,1966,45,226,121,130,494,169,184,157,2053,1432.5,1557,545450,6859,451,244,75,80,54,35,86,55,0,31,0,0,0,0,0,0,0,0,121,60,16,24,20,61,5.7,2.5
