NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVE_AM,PCT_ASIAN,PCT_HAWAIIAN_PI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,BUILT_2005_OR_LATER,BUILT_2000_2004,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,NATIVE_BORN,FOREIGN_BORN_FB,PCT_IN_POVERTY,PCT_FAM_POVERTY,SHAPE_Length,SHAPE_Area
Ruby Hill,9121,6189,2098,174,56,397,0,11,196,67.85,23,1.91,0.61,4.35,0,0.12,2.15,4600,4521,915,767,760,366,1682,1393,1129,1537,957,790,685,635,313,2808,1189,30.79,13.04,8481,2318,125,209,580,665,557,137,45,6163,3511,764,1338,901,309,199,5469,2170,1802,1135,362,3568,3308,260,1737,1571,3308,2004,1144,860,319,541,1304,1163,141,619,313,233,244,135,223,239,249,89,205,329,292,78,51,0,9,15167,40707,44666,0,47,34,239,262,610,2095,177,104,6463,2658,26.24,15.62,0.08924258,0.000394849
Kennedy,4089,1412,1439,660,103,430,0,0,45,34.53,35.19,16.14,2.52,10.52,0,0,1.1,2334,1755,544,308,78,36,852,133,1454,905,268,287,161,14,15,966,92,23.62,2.25,3761,644,52,70,152,52,36,282,0,3117,2034,340,986,252,400,56,2534,472,668,768,626,2461,2129,332,0,2129,2129,852,497,355,30,325,1277,1014,263,283,286,154,291,232,141,206,109,109,75,129,81,10,0,23,0,16340,31208,34788,39,102,115,395,1336,398,64,12,0,2625,1464,28.12,26.06,0.076979342,0.000190861
Country Club,3009,131,2340,59,0,86,0,0,393,4.35,77.77,1.96,0,2.86,0,0,13.06,1501,1508,151,241,238,149,392,427,211,443,479,542,300,131,84,779,346,25.89,11.5,2903,847,45,10,261,208,149,164,10,2056,1387,440,587,299,37,24,2044,0,163,209,1672,1371,1218,153,1025,193,1218,750,645,105,56,49,468,313,155,10,8,25,54,0,22,10,42,6,32,100,158,145,115,201,290,73668,179115,209410,12,10,20,28,24,74,63,41,1099,2847,162,1.53,0,0.052865128,0.000176683
Congress Park,10434,691,8417,583,73,287,39,38,306,6.62,80.67,5.59,0.7,2.75,0.37,0.36,2.93,5369,5065,553,463,397,234,1016,723,2509,2175,1413,1511,560,361,166,1647,644,15.78,6.17,10131,2533,194,124,347,346,272,656,594,7598,6366,1966,2513,1299,276,312,7774,253,663,1870,4988,6154,5595,559,2575,3020,5595,1909,1430,479,76,403,3686,2888,798,629,385,264,187,351,146,169,337,245,383,567,551,444,205,324,408,42610,78086,133275,148,217,132,33,588,772,506,203,3555,9772,662,12.8,6.91,0.067619429,0.000280072
City Park,2373,335,1605,308,6,102,0,10,7,14.12,67.64,12.98,0.25,4.3,0,0.42,0.29,1163,1210,125,25,43,15,150,95,520,594,344,274,197,52,147,208,317,8.77,13.36,2279,336,20,7,18,50,8,161,72,1943,1458,320,666,331,112,29,1968,140,196,398,1234,1485,1290,195,570,720,1290,491,435,56,0,56,799,681,118,78,90,27,30,70,63,123,40,62,44,200,131,70,35,151,76,45284,80824,116914,159,110,41,28,49,160,75,94,769,2228,145,13.62,9.57,0.059940848,0.000209148
Clayton,4478,2070,717,1495,9,33,0,11,143,46.23,16.01,33.39,0.2,0.74,0,0.25,3.19,2101,2377,345,348,377,250,693,765,771,584,627,347,328,206,157,1320,518,29.48,11.57,4319,1447,58,65,308,296,318,329,73,2872,1814,493,924,270,80,47,2683,1038,597,445,603,1685,1524,161,1055,469,1524,847,472,375,56,319,677,450,227,174,121,192,79,52,81,164,50,47,67,242,81,89,28,25,32,17619,48887,54283,10,25,47,12,127,109,305,335,715,3679,799,27.9,25.27,0.05987783,0.000209829
Skyland,3408,700,752,1573,138,0,0,34,211,20.54,22.07,46.16,4.05,0,0,1,6.19,1549,1859,176,180,194,81,356,437,534,638,428,405,232,273,105,631,494,18.52,14.5,3286,659,0,62,178,111,191,85,32,2627,1711,656,440,391,87,137,2384,329,634,592,829,1559,1385,174,915,470,1385,792,416,376,72,304,593,373,220,120,135,105,73,148,38,62,12,74,85,42,235,131,69,45,11,24422,57587,61901,6,0,33,94,49,90,484,368,435,3274,134,19.7,16.79,0.060572462,0.000207803
Cole,4758,3147,837,691,11,56,0,0,16,66.14,17.59,14.52,0.23,1.18,0,0,0.34,2297,2461,387,492,417,313,879,978,600,776,777,366,208,80,94,1609,236,33.82,4.96,4450,1541,64,33,331,420,483,139,71,2909,1829,357,814,409,99,150,2644,1025,649,461,509,1803,1619,184,806,813,1619,1024,577,447,252,195,595,477,118,319,96,203,89,85,91,76,46,119,122,181,93,48,51,0,0,13604,38917,42449,16,64,171,90,97,37,157,75,1096,3308,1450,35.97,28.52,0.046895006,0.000139418
Marston,11065,2476,7878,41,164,445,0,0,61,22.38,71.2,0.37,1.48,4.02,0,0,0.55,5112,5953,729,492,413,337,1221,1114,2177,1837,1480,1556,1090,331,259,1971,1118,17.81,10.1,10731,2332,185,94,318,365,585,494,291,8399,6162,1476,1943,1566,778,399,7844,210,1760,2633,3241,5571,5304,267,3657,1647,5304,2737,2231,506,103,403,2567,2031,536,200,196,102,265,268,448,247,171,338,503,664,845,326,150,426,155,34605,71269,90983,117,846,1539,1928,1005,123,0,0,13,10262,803,10.11,6.87,0.253258832,0.000861271
Fort Logan,9209,2404,5803,146,34,673,0,15,134,26.1,63.01,1.59,0.37,7.31,0,0.16,1.46,4537,4672,644,408,592,460,1052,1268,1350,1023,1239,1204,845,728,500,2104,1557,22.85,16.91,8838,1970,116,94,313,504,473,459,11,6868,3883,765,1488,1052,375,203,6380,672,1573,2310,1825,3508,3333,175,2558,775,3333,2239,1780,459,113,346,1094,897,197,154,91,252,124,175,120,174,72,261,263,211,518,345,177,202,194,29154,77406,90505,6,177,517,298,1358,816,323,0,13,8250,959,13.33,7.77,0.168710674,0.000721309
